Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 10.196013, 10.964572, 6.696100, 4.738548, 1.047986, 2496.087036, 0.046479, 
20, 10.291071, 10.970051, 6.791316, 4.760789, 1.112029, 3.202154, 0.068630, 
20, 10.386453, 10.977661, 6.887001, 4.784259, 1.173481, 3.072592, 0.090521, 
20, 10.482137, 10.987391, 6.983178, 4.808861, 1.230136, 2.832779, 0.112087, 
20, 10.578099, 10.999227, 7.079867, 4.834461, 1.279958, 2.491085, 0.133264, 
20, 10.674315, 11.013147, 7.177085, 4.860883, 1.321145, 2.059361, 0.153995, 
20, 10.770759, 11.029123, 7.274843, 4.887927, 1.352184, 1.551940, 0.174225, 
20, 10.867399, 11.047121, 7.373145, 4.915086, 1.357938, 0.287673, 0.193903, 
20, 10.964202, 11.067097, 7.471987, 4.942109, 1.351166, -0.338558, 0.212983, 
20, 11.061137, 11.089004, 7.571368, 4.969018, 1.345428, -0.286941, 0.231427, 
20, 11.158176, 11.112790, 7.671279, 4.995553, 1.326741, -0.934329, 0.249200, 
20, 11.255286, 11.138395, 7.771708, 5.021457, 1.295212, -1.576473, 0.266275, 
20, 11.352436, 11.165756, 7.872637, 5.046481, 1.251195, -2.200831, 0.282628, 
20, 11.449595, 11.194802, 7.974045, 5.070386, 1.195253, -2.797082, 0.298241, 
20, 11.546730, 11.225462, 8.075904, 5.092948, 1.128109, -3.357195, 0.313100, 
20, 11.643810, 11.257656, 8.178183, 5.113960, 1.050601, -3.875406, 0.327196, 
20, 11.740804, 11.291305, 8.280848, 5.133233, 0.963640, -4.348056, 0.340524, 
20, 11.837681, 11.326325, 8.383860, 5.150596, 0.868173, -4.773365, 0.353082, 
20, 11.934410, 11.362629, 8.487178, 5.165899, 0.765150, -5.151155, 0.364871, 
20, 12.030964, 11.400128, 8.590758, 5.179009, 0.655499, -5.482551, 0.375896, 
20, 12.127314, 11.438734, 8.694554, 5.189811, 0.540104, -5.769715, 0.386163, 
20, 12.223432, 11.478354, 8.798518, 5.198207, 0.419793, -6.015548, 0.395681, 
20, 12.319293, 11.518899, 8.902601, 5.204114, 0.295324, -6.223470, 0.404460, 
20, 12.414871, 11.560275, 9.006750, 5.207461, 0.167380, -6.397204, 0.412512, 
20, 12.510140, 11.602391, 9.110914, 5.208193, 0.036568, -6.540614, 0.419850, 
20, 12.605079, 11.645155, 9.215039, 5.206261, -0.096583, -6.657550, 0.426487, 
20, 12.699661, 11.688478, 9.319072, 5.201629, -0.231619, -6.751784, 0.432439, 
20, 12.793866, 11.732269, 9.422957, 5.194265, -0.368157, -6.826884, 0.437721, 
20, 12.887670, 11.776440, 9.526640, 5.184148, -0.505881, -6.886200, 0.442349, 
20, 12.981049, 11.820904, 9.630065, 5.171257, -0.644537, -6.932821, 0.446338, 
20, 13.073982, 11.865574, 9.733177, 5.155579, -0.783928, -6.969543, 0.449706, 
20, 13.166445, 11.910369, 9.835919, 5.137100, -0.923906, -6.998885, 0.452470, 
20, 13.258414, 11.955205, 9.938235, 5.115813, -1.064367, -7.023071, 0.454645, 
20, 13.349866, 12.000002, 10.040069, 5.091708, -1.205248, -7.044056, 0.456250, 
20, 13.440774, 12.044683, 10.141364, 5.064778, -1.346518, -7.063514, 0.457302, 
20, 13.531114, 12.089173, 10.242065, 5.035014, -1.488176, -7.082878, 0.457819, 
20, 13.620857, 12.133397, 10.342113, 5.002409, -1.630243, -7.103332, 0.457817, 
20, 13.709981, 12.177288, 10.441459, 4.967288, -1.756059, -6.290819, 0.457315, 
20, 13.798481, 12.220790, 10.540072, 4.930655, -1.831633, -3.778715, 0.456331, 
20, 13.886361, 12.263854, 10.637936, 4.893201, -1.872722, -2.054423, 0.454881, 
20, 13.973625, 12.306436, 10.735035, 4.854949, -1.912618, -1.994830, 0.452982, 
20, 14.060276, 12.348492, 10.831353, 4.815920, -1.951448, -1.941467, 0.450651, 
20, 14.146318, 12.389981, 10.926876, 4.776133, -1.989333, -1.894271, 0.447902, 
20, 14.231751, 12.430867, 11.021588, 4.735605, -2.026395, -1.853107, 0.444753, 
20, 14.316574, 12.471114, 11.115475, 4.694350, -2.062751, -1.817765, 0.441216, 
20, 14.400787, 12.510687, 11.208523, 4.652380, -2.098511, -1.787996, 0.437309, 
20, 14.484387, 12.549556, 11.300717, 4.609704, -2.133780, -1.763485, 0.433045, 
20, 14.567370, 12.587692, 11.392043, 4.566331, -2.168658, -1.743886, 0.428439, 
20, 14.649732, 12.625067, 11.482489, 4.522266, -2.203234, -1.728814, 0.423505, 
20, 14.731466, 12.661657, 11.572039, 4.477515, -2.237591, -1.717863, 0.418257, 
20, 14.812565, 12.697438, 11.660680, 4.432079, -2.271803, -1.710580, 0.412711, 
20, 14.893020, 12.732389, 11.748400, 4.385960, -2.305933, -1.706519, 0.406879, 
20, 14.972822, 12.766492, 11.835183, 4.339159, -2.340037, -1.705187, 0.400777, 
20, 15.051959, 12.799729, 11.921016, 4.291676, -2.374159, -1.706110, 0.394418, 
20, 15.130419, 12.832085, 12.005887, 4.243509, -2.408335, -1.708772, 0.387816, 
20, 15.208189, 12.863548, 12.089780, 4.194658, -2.442588, -1.712680, 0.380987, 
20, 15.285255, 12.894105, 12.172682, 4.145119, -2.476935, -1.717334, 0.373944, 
20, 15.361600, 12.923747, 12.254580, 4.094891, -2.511380, -1.722227, 0.366702, 
20, 15.437209, 12.952466, 12.335459, 4.043973, -2.545917, -1.726884, 0.359275, 
20, 15.512064, 12.980257, 12.415307, 3.992362, -2.580534, -1.730829, 0.351677, 
20, 15.586146, 13.007117, 12.494108, 3.940058, -2.615206, -1.733622, 0.343923, 
20, 15.659437, 13.033042, 12.571849, 3.887060, -2.649903, -1.734831, 0.336028, 
20, 15.731917, 13.058033, 12.648516, 3.833368, -2.684585, -1.734079, 0.328005, 
20, 15.803565, 13.082092, 12.724096, 3.778984, -2.719205, -1.731003, 0.319870, 
20, 15.874361, 13.105221, 12.798574, 3.723910, -2.753711, -1.725297, 0.311636, 
20, 15.944283, 13.127426, 12.871937, 3.668149, -2.788044, -1.716689, 0.303318, 
