Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 16.007507, 8.471546, 13.087441, 5.387757, -2.197120, -0.735391, 5.837725, 
20, 16.104259, 8.426149, 13.194313, 5.343604, -2.207646, -0.526305, 5.851399, 
20, 16.200835, 8.382490, 13.300300, 5.299350, -2.212720, -0.253724, 5.865995, 
20, 16.297247, 8.340641, 13.405402, 5.255130, -2.210974, 0.087325, 5.881512, 
20, 16.393502, 8.300676, 13.509624, 5.211111, -2.200958, 0.500815, 5.897946, 
20, 16.489607, 8.262662, 13.612974, 5.167488, -2.181173, 0.989244, 5.915288, 
20, 16.585568, 8.226667, 13.715464, 5.124485, -2.150110, 1.553119, 5.933527, 
20, 16.681390, 8.192751, 13.817111, 5.082359, -2.106302, 2.190407, 5.952643, 
20, 16.777079, 8.160973, 13.917939, 5.041392, -2.048382, 2.895994, 5.972612, 
20, 16.872641, 8.131385, 14.017977, 5.001889, -1.975158, 3.661229, 5.993404, 
20, 16.968084, 8.104036, 14.117260, 4.964175, -1.885686, 4.473584, 6.014982, 
20, 17.063415, 8.078970, 14.215832, 4.928588, -1.779355, 5.316543, 6.037301, 
20, 17.158646, 8.056225, 14.313741, 4.895469, -1.655960, 6.169748, 6.060309, 
20, 17.253789, 8.035835, 14.411044, 4.865153, -1.515770, 7.009501, 6.083950, 
20, 17.348858, 8.017828, 14.507804, 4.837962, -1.359578, 7.809627, 6.108156, 
20, 17.443855, 8.002232, 14.604073, 4.813477, -1.224251, 6.766316, 6.132855, 
20, 17.538770, 7.989067, 14.699897, 4.791167, -1.115487, 5.438202, 6.157960, 
20, 17.633590, 7.978350, 14.795320, 4.771165, -1.000091, 5.769796, 6.183382, 
20, 17.728303, 7.970089, 14.890392, 4.753624, -0.877030, 6.153045, 6.209028, 
20, 17.822897, 7.964285, 14.985165, 4.738621, -0.750155, 6.343777, 6.234805, 
20, 17.917361, 7.960932, 15.079688, 4.726152, -0.623481, 6.333688, 6.260616, 
20, 18.015294, 7.959995, 15.177626, 4.896905, 8.537668, 458.057469, 6.282532, 
20, 18.138531, 7.959616, 15.300864, 6.161892, 63.249339, 2735.583546, 6.277860, 
20, 18.260380, 7.958738, 15.422715, 6.092590, -3.465089, -3335.721418, 6.274284, 
20, 18.380832, 7.957504, 15.543173, 6.022885, -3.485251, -1.008109, 6.271768, 
20, 18.499872, 7.956047, 15.662223, 5.952471, -3.520715, -1.773190, 6.270287, 
20, 18.617483, 7.954493, 15.779844, 5.881059, -3.570578, -2.493123, 6.269818, 
20, 18.733640, 7.952961, 15.896011, 5.808378, -3.634046, -3.173393, 6.270348, 
20, 18.848315, 7.951566, 16.010695, 5.734170, -3.710428, -3.819120, 6.271866, 
20, 18.961473, 7.950417, 16.123859, 5.658187, -3.799126, -4.434904, 6.274368, 
20, 19.073074, 7.949618, 16.235462, 5.580195, -3.899620, -5.024689, 6.277853, 
20, 19.183073, 7.949268, 16.345462, 5.499966, -4.011452, -5.591629, 6.282327, 
20, 19.291418, 7.949462, 16.453807, 5.417282, -4.134211, -6.137952, 0.004613, 
20, 19.398054, 7.950289, 16.560446, 5.331931, -4.267507, -6.664785, 0.011097, 
20, 19.502917, 7.951837, 16.665320, 5.243712, -4.410947, -7.172004, 0.018611, 
20, 19.605939, 7.954185, 16.768369, 5.152430, -4.564106, -7.657936, 0.027177, 
20, 19.707045, 7.957411, 16.869527, 5.057901, -4.726488, -8.119126, 0.036821, 
20, 19.806156, 7.961584, 16.968726, 4.959951, -4.897488, -8.549972, 0.047572, 
20, 19.903186, 7.966771, 17.065894, 4.858424, -5.076334, -8.942292, 0.059465, 
20, 19.998044, 7.973029, 17.160958, 4.753183, -5.262034, -9.284994, 0.072533, 
20, 20.090632, 7.980409, 17.253840, 4.644117, -5.453301, -9.563371, 0.086816, 
20, 20.180852, 7.988955, 17.344463, 4.531148, -5.648479, -9.758891, 0.102353, 
20, 20.268597, 7.998702, 17.432748, 4.414239, -5.845450, -9.848570, 0.119184, 
20, 20.353761, 8.009672, 17.518616, 4.293408, -6.041545, -9.804732, 0.137350, 
20, 20.436237, 8.021880, 17.601991, 4.168739, -6.233447, -9.595118, 0.156888, 
20, 20.515932, 8.035330, 17.682813, 4.041100, -6.381934, -7.424321, 0.177837, 
20, 20.592771, 8.050016, 17.761042, 3.911470, -6.481513, -4.978974, 0.200237, 
20, 20.666682, 8.065923, 17.836646, 3.780173, -6.564860, -4.167366, 0.224122, 
20, 20.737600, 8.083024, 17.909597, 3.647557, -6.630788, -3.296377, 0.249520, 
20, 20.805470, 8.101280, 17.979879, 3.514105, -6.672613, -2.091232, 0.276447, 
20, 20.870247, 8.120643, 18.047488, 3.380447, -6.682896, -0.514188, 0.304910, 
20, 20.931904, 8.141053, 18.112436, 3.247373, -6.653678, 1.460895, 0.334894, 
20, 20.990434, 8.162444, 18.174752, 3.115836, -6.576857, 3.841075, 0.366369, 
20, 21.045854, 8.184746, 18.234491, 2.986942, -6.444736, 6.606027, 0.399278, 
20, 21.098207, 8.207886, 18.291730, 2.861927, -6.250736, 9.700040, 0.433543, 
20, 21.147564, 8.231794, 18.346572, 2.742123, -5.990213, 13.026145, 0.469053, 
20, 21.194025, 8.256406, 18.399150, 2.628896, -5.661327, 16.444273, 0.505671, 
20, 21.237718, 8.281670, 18.449622, 2.523580, -5.265813, 19.775716, 0.543234, 
20, 21.278793, 8.307550, 18.498169, 2.427390, -4.809512, 22.815042, 0.581551, 
20, 21.317419, 8.334022, 18.544996, 2.341339, -4.302520, 25.349598, 0.620411, 
20, 21.353776, 8.361085, 18.590319, 2.266162, -3.758834, 27.184295, 0.659586, 
20, 21.388048, 8.388750, 18.634364, 2.202253, -3.195479, 28.167746, 0.698844, 
20, 21.420417, 8.417045, 18.677357, 2.149629, -2.631190, 28.214451, 0.737948, 
20, 21.451054, 8.446007, 18.719516, 2.107932, -2.084832, 27.317899, 0.776670, 
20, 21.480114, 8.475674, 18.761045, 2.076456, -1.573799, 25.551675, 0.814798, 
20, 21.507734, 8.506089, 18.802129, 2.054204, -1.112640, 23.057952, 0.852141, 
20, 21.534029, 8.537284, 18.842928, 2.039961, -0.712111, 20.026448, 0.888530, 
20, 21.559096, 8.569282, 18.883576, 2.032387, -0.378739, 16.668572, 0.923827, 
20, 21.583011, 8.602094, 18.924178, 2.030089, -0.114898, 13.192083, 0.957922, 
20, 21.605832, 8.635714, 18.964812, 2.031703, 0.080711, 9.780453, 0.990733, 
20, 21.627606, 8.670122, 19.005531, 2.035949, 0.212309, 6.579880, 1.022206, 
20, 21.648369, 8.705282, 19.046364, 2.041673, 0.286180, 3.693536, 1.052310, 
20, 21.668149, 8.741147, 19.087322, 2.047869, 0.309834, 1.182693, 1.081035, 
20, 21.686969, 8.777656, 19.128395, 2.053695, 0.291273, -0.928039, 1.108389, 
20, 21.704850, 8.814739, 19.169565, 2.058463, 0.238419, -2.642706, 1.134394, 
20, 21.721811, 8.852322, 19.210797, 2.061637, 0.158700, -3.985919, 1.159083, 
20, 21.737874, 8.890323, 19.252054, 2.062813, 0.058801, -4.994971, 1.182497, 
20, 21.753057, 8.928659, 19.293288, 2.061704, -0.055470, -5.713531, 1.204684, 
20, 21.767385, 8.967248, 19.334450, 2.058120, -0.179213, -6.187163, 1.225697, 
20, 21.780880, 9.006005, 19.375489, 2.051952, -0.308401, -6.459380, 1.245588, 
20, 21.793568, 9.044848, 19.416352, 2.043155, -0.439808, -6.570376, 1.264412, 
20, 21.805475, 9.083699, 19.456987, 2.031737, -0.570916, -6.555399, 1.282224, 
20, 21.816631, 9.122481, 19.497342, 2.017741, -0.699810, -6.444698, 1.299078, 
20, 21.827063, 9.161123, 19.537367, 2.001239, -0.825079, -6.263432, 1.315025, 
20, 21.836801, 9.199554, 19.577013, 1.982325, -0.945726, -6.032386, 1.330117, 
